target_index,ik_ok,peak_sample_idx,point_drift,range_3d_est_m,range_horiz_est_m,sensor_angle_deg,sensor_x,sensor_y,sensor_z,stationarity_ok,target_x_true,target_y_true,vantage_index,waveform_tag
2,True,23.0,0.14285333393345098,0.4629002779160337,0.4220306874505131,0.06183686549644409,0.5999973413369495,-0.07520637018598755,0.6501756192175764,False,1.0,0.075,1,t02_v1
2,True,22.0,0.028048888056237443,0.44569574924861727,0.4029874334096114,0.09174791530964964,0.5999997946343282,-0.00011364817998411109,0.6503833748314709,True,1.0,0.075,2,t02_v2
2,True,24.0,0.01302562910707171,0.48010480658345017,0.440774693709713,0.07349160818859356,0.6000036213170103,0.07506928164335265,0.650311047208618,True,1.0,0.075,3,t02_v3
2,True,22.0,0.01370699749415718,0.44569574924861727,0.40316690636218644,0.01897555349775006,0.6000102046531763,0.15008513033238582,0.6500030171145457,True,1.0,0.075,4,t02_v4
3,True,28.0,0.08890250836595395,0.5489229212531159,0.5149783150373882,0.0157684078598945,0.599996926024218,-0.15006224467517634,0.6500360716240658,False,1.0,0.15,0,t03_v0
3,True,25.0,0.15146725419072254,0.4973093352508666,0.459510401169408,0.06183686549644409,0.5999973413369495,-0.07520637018598755,0.6501756192175764,False,1.0,0.15,1,t03_v1
3,True,23.0,0.049281191868541616,0.4629002779160337,0.42193700700758746,0.09174791530964964,0.5999997946343282,-0.00011364817998411109,0.6503833748314709,True,1.0,0.15,2,t03_v2
3,True,22.0,0.037887290310594304,0.44569574924861727,0.40302159521376213,0.07349160818859356,0.6000036213170103,0.07506928164335265,0.650311047208618,True,1.0,0.15,3,t03_v3
3,True,24.0,0.026572334537264992,0.48010480658345017,0.44090756263858955,0.01897555349775006,0.6000102046531763,0.15008513033238582,0.6500030171145457,True,1.0,0.15,4,t03_v4
4,True,27.0,0.002982343082247243,0.5317183925856995,0.49659917488414435,0.0157684078598945,0.599996926024218,-0.15006224467517634,0.6500360716240658,True,1.1,-0.15,0,t04_v0
4,True,27.0,0.10211504058665824,0.5317183925856995,0.4965457510332069,0.06183686549644409,0.5999973413369495,-0.07520637018598755,0.6501756192175764,False,1.1,-0.15,1,t04_v1
4,True,28.0,0.030609890497860896,0.5489229212531159,0.5148500209428317,0.09174791530964964,0.5999997946343282,-0.00011364817998411109,0.6503833748314709,True,1.1,-0.15,2,t04_v2
4,True,31.0,0.11840603820338615,0.6005365072553653,0.5695838848289447,0.07349160818859356,0.6000036213170103,0.07506928164335265,0.650311047208618,False,1.1,-0.15,3,t04_v3
4,True,33.0,0.006267327097897522,0.6349455645901982,0.6058504134521452,0.01897555349775006,0.6000102046531763,0.15008513033238582,0.6500030171145457,True,1.1,-0.15,4,t04_v4
5,True,27.0,0.021169986403441844,0.5317183925856995,0.49659917488414435,0.0157684078598945,0.599996926024218,-0.15006224467517634,0.6500360716240658,True,1.1,-0.075,0,t05_v0
5,True,27.0,0.03552458784730408,0.5317183925856995,0.4965457510332069,0.06183686549644409,0.5999973413369495,-0.07520637018598755,0.6501756192175764,True,1.1,-0.075,1,t05_v1
5,True,27.0,0.047822481247935124,0.5317183925856995,0.49646613137423556,0.09174791530964964,0.5999997946343282,-0.00011364817998411109,0.6503833748314709,True,1.1,-0.075,2,t05_v2
5,True,30.0,0.012359657125626347,0.5833319785879489,0.551414456242934,0.07349160818859356,0.6000036213170103,0.07506928164335265,0.650311047208618,True,1.1,-0.075,3,t05_v3
5,True,31.0,0.09845256443585125,0.6005365072553653,0.5696867121794602,0.01897555349775006,0.6000102046531763,0.15008513033238582,0.6500030171145457,False,1.1,-0.075,4,t05_v4
6,True,28.0,0.007860270705877585,0.5489229212531159,0.5149783150373882,0.0157684078598945,0.599996926024218,-0.15006224467517634,0.6500360716240658,True,1.1,0.0,0,t06_v0
6,True,27.0,0.04160791399827037,0.5317183925856995,0.4965457510332069,0.06183686549644409,0.5999973413369495,-0.07520637018598755,0.6501756192175764,True,1.1,0.0,1,t06_v1
6,True,27.0,0.05742782703092195,0.5317183925856995,0.49646613137423556,0.09174791530964964,0.5999997946343282,-0.00011364817998411109,0.6503833748314709,False,1.1,0.0,2,t06_v2
6,True,27.0,0.0017352769131210905,0.5317183925856995,0.4964938613158065,0.07349160818859356,0.6000036213170103,0.07506928164335265,0.650311047208618,True,1.1,0.0,3,t06_v3
