cell_id,block,target_distance_m,target_size_m,sensor_pitch_deg,clutter,sensor_pos_x_m,sensor_pos_y_m,sensor_pos_z_m,notes,snr_peak,snr_energy,peak_idx_with,early_energy_with,peak_idx_without,early_energy_without,peak_idx_noise,early_energy_noise,detectable
D_d0.3_z0.10_p0_ctablearm,D,0.3,0.1,0.0,table_arm,0.0,0.0,0.65,block D,148.35632844646022,2.816874573035971,13.0,10525.630833857513,19.0,34.24187532001517,13.0,10506.208971225968,True
D_d0.3_z0.10_p60_ctablearm,D,0.3,0.1,60.0,table_arm,0.0,0.0,0.65,block D,7.468486497784595,1.4590736086052367,13.0,2175.926097765138,13.0,2038.704384749729,13.0,2160.4196587031984,False
D_d0.3_z0.20_p0_ctablearm,D,0.3,0.2,0.0,table_arm,0.0,0.0,0.65,block D,216.2080856509416,6.543532579845591,10.0,44138.428758290574,19.0,34.24187706500351,10.0,44221.676023180626,True
D_d0.3_z0.20_p60_ctablearm,D,0.3,0.2,60.0,table_arm,0.0,0.0,0.65,block D,15.929370513725681,2.458589066279978,13.0,1308.3239081274573,13.0,2038.7062107004322,13.0,1295.3256216006043,True
D_d0.5_z0.10_p0_ctablearm,D,0.5,0.1,0.0,table_arm,0.0,0.0,0.65,block D,94.5776972141286,2.1846840550519104,24.0,28.647526801717486,19.0,34.24187736930291,24.0,27.83980006560776,True
D_d0.5_z0.10_p60_ctablearm,D,0.5,0.1,60.0,table_arm,0.0,0.0,0.65,block D,1.286119384158172,1.0762922245098634,13.0,2048.9321633919167,13.0,2038.705888144405,13.0,2038.7741088792566,False
D_d0.5_z0.20_p0_ctablearm,D,0.5,0.2,0.0,table_arm,0.0,0.0,0.65,block D,293.13423123611176,4.551345547328843,19.0,35762.290937576814,19.0,34.24188046786102,19.0,35754.52171408737,True
D_d0.5_z0.20_p60_ctablearm,D,0.5,0.2,60.0,table_arm,0.0,0.0,0.65,block D,1.286119384158172,1.0762917558615612,13.0,2048.9352709750924,13.0,2038.705229782915,13.0,2038.774417674103,False
D_d0.8_z0.10_p0_ctablearm,D,0.8,0.1,0.0,table_arm,0.0,0.0,0.65,block D,67.67129709522538,2.0819170634507707,41.0,28.644637954818315,19.0,34.3622108221575,41.0,27.836846920845144,True
D_d0.8_z0.10_p60_ctablearm,D,0.8,0.1,60.0,table_arm,0.0,0.0,0.65,block D,1.286119384158172,1.0762922176344543,13.0,2048.933014467543,13.0,2038.7049043704546,13.0,2038.7734150705533,False
D_d0.8_z0.20_p0_ctablearm,D,0.8,0.2,0.0,table_arm,0.0,0.0,0.65,block D,244.0476500913145,4.81652362323655,36.0,29.75818223037071,19.0,26.55315251130924,36.0,34.27638722606457,True
D_d0.8_z0.20_p60_ctablearm,D,0.8,0.2,60.0,table_arm,0.0,0.0,0.65,block D,1.286119384158172,1.0762910096523197,13.0,2048.9344951206926,13.0,2038.7055366939676,13.0,2038.7744588034304,False
